ID Caso;ID Caso Relacionado;Año;Mes;Día;Código DANE de Municipio;Municipio;Departamento;Región;Modalidad;Presunto Responsable;Descripción Presunto Responsable;Abandono o Despojo Forzado de Tierras;Amenaza o Intimidación;Ataque Contra Misión Médica;Confinamiento o Restricción a la Movilidad;Desplazamiento Forzado;Extorsión;Lesionados Civiles;Pillaje;Tortura;Violencia Basada en Género;Otro Hecho Simultáneo;Total de Víctimas del Caso;Tipo de Armas;Latitud;Longitud
288989;;1988;11;27;20710;SAN ALBERTO;CESAR;MAGDALENA MEDIO;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;7,836959437;-73,42890783
288990;;1988;12;03;68190;CIMITARRA;SANTANDER;MAGDALENA MEDIO;RETENCIÓN/EJECUCIÓN;GRUPO PARAMILITAR;AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO;0;0;0;0;0;0;0;0;0;;;5;ND;6,40972961;-74,17030427
288991;;1988;12;04;05854;VALDIVIA;ANTIOQUIA;NORTE DE ANTIOQUIA;RUTA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;8;ARMA DE FUEGO;7,294917897;-75,38742079
288993;;1988;12;05;05854;VALDIVIA;ANTIOQUIA;NORTE DE ANTIOQUIA;SICARIATO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;7,265404213;-75,40094502
288995;;1988;12;11;05579;PUERTO BERRIO;ANTIOQUIA;MAGDALENA MEDIO;ASALTO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;6,481922267;-74,5287421
288997;;1988;12;15;23001;MONTERIA;CORDOBA;ALTO SINU Y SAN JORGE;DESCONOCIDA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;8,742098973;-76,04750337
288998;;1988;12;16;05854;VALDIVIA;ANTIOQUIA;NORTE DE ANTIOQUIA;RUTA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;7;ARMA DE FUEGO;7,265404213;-75,40094502
288999;;1988;12;20;19532;PATIA;CAUCA;PATIA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;8;ARMA DE FUEGO;2,157983906;-77,0465762
289001;;1988;12;30;05120;CACERES;ANTIOQUIA;BAJO CAUCA ANTIOQUEÑO;ASALTO;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;7,665155105;-75,22369744
289002;;1988;12;30;05120;CACERES;ANTIOQUIA;BAJO CAUCA ANTIOQUEÑO;DESCONOCIDA;GUERRILLA;ELN;0;0;0;0;0;0;0;0;0;;;5;ND;7,665155105;-75,22369744
289003;;1989;01;04;50573;PUERTO LOPEZ;META;ALTILLANURA;ASALTO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;1;0;0;;;4;ARMA DE FUEGO;4,056318858;-73,17422131
289004;;1989;01;04;05585;PUERTO NARE;ANTIOQUIA;MAGDALENA MEDIO;INCURSIÓN;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;;7;OBJETO CONTUNDENTE;6,126539139;-74,70317722
289005;;1989;01;07;05045;APARTADO;ANTIOQUIA;URABA;ASALTO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;15;ARMA DE FUEGO;7,86047815;-76,58236264
289007;;1989;01;10;05045;APARTADO;ANTIOQUIA;URABA;RETENCIÓN/EJECUCIÓN;DESCONOCIDO;NO APLICA;0;0;0;0;0;0;0;0;0;;;4;ND;7,883257;-76,625135
289008;;1989;01;13;05045;APARTADO;ANTIOQUIA;URABA;ASALTO;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;7,86047815;-76,58236264
289009;CR2017289009;1989;01;18;68745;SIMACOTA;SANTANDER;MAGDALENA MEDIO;RETENCIÓN/EJECUCIÓN;AGENTE DEL ESTADO - GRUPO PARAMILITAR;NO APLICA;0;1;0;0;0;0;3;1;0;;;12;ARMA DE FUEGO;6,745691;-73,845473
289011;;1989;01;28;05088;BELLO;ANTIOQUIA;VALLE DE ABURRA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;PRESENCIA GAO SIN ATRIBUCIÓN;0;0;0;0;0;0;0;0;0;;;4;ND;6,358841086;-75,58973588
289012;;1989;01;29;68575;PUERTO WILCHES;SANTANDER;MAGDALENA MEDIO;INCURSIÓN;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;7,850539287;-73,81597956
289013;;1989;02;01;23001;MONTERIA;CORDOBA;ALTO SINU Y SAN JORGE;RETENCIÓN/EJECUCIÓN;GRUPO PARAMILITAR;NO IDENTIFICADO;1;0;0;0;0;0;0;0;0;;;4;ND;8,445096698;-75,99508246
289014;;1989;01;26;68745;SIMACOTA;SANTANDER;MAGDALENA MEDIO;RETENCIÓN/EJECUCIÓN;AGENTE DEL ESTADO;EJÉRCITO NACIONAL;0;0;0;0;0;0;0;0;6;;;6;ARMA DE FUEGO;6,745691;-73,845473
289015;;1989;02;04;73555;PLANADAS;TOLIMA;SUR DEL TOLIMA;DESCONOCIDA;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;6;0;0;;;4;ND;3,091560041;-75,67171697
289016;CR020083;1989;02;08;23001;MONTERIA;CORDOBA;ALTO SINU Y SAN JORGE;ASALTO;GRUPO PARAMILITAR;OTRO;0;1;0;0;1;0;0;0;0;;DAÑO A BIEN CIVIL;6;ARMA DE FUEGO - MATERIAL INCENDIARIO;8,467925642;-75,75634877
